# F_N  Mean_rate
8.500000000000000000e+01 1.248967426574705553e-01
8.700000000000000000e+01 1.289653775518679324e-01
8.900000000000000000e+01 1.137889152785973995e-01
9.100000000000000000e+01 1.175040650789299645e-01
9.300000000000000000e+01 1.135946881167120559e-01
9.500000000000000000e+01 1.208607206472465390e-01
9.700000000000000000e+01 1.171051877074247710e-01
9.900000000000000000e+01 1.063347682984604747e-01
1.010000000000000000e+02 1.135152388407619367e-01
1.030000000000000000e+02 1.101042332758118969e-01
1.050000000000000000e+02 1.192335562668640908e-01
1.070000000000000000e+02 1.121661713929576198e-01
1.090000000000000000e+02 1.115407163376018751e-01
1.110000000000000000e+02 1.061129923367221117e-01
1.130000000000000000e+02 9.405790623547871654e-02
1.150000000000000000e+02 9.502309825089080841e-02
1.170000000000000000e+02 1.009185596635374937e-01
1.190000000000000000e+02 9.267383547192561966e-02
1.210000000000000000e+02 9.694316018086754361e-02
1.230000000000000000e+02 9.133946609040186071e-02
1.250000000000000000e+02 9.826625816903007682e-02
1.270000000000000000e+02 9.011375951056196931e-02
1.290000000000000000e+02 9.932674499228449916e-02
1.310000000000000000e+02 8.572042842089785952e-02
1.330000000000000000e+02 7.935777412592623370e-02
1.350000000000000000e+02 8.102261772687997798e-02
1.370000000000000000e+02 8.271283535904852546e-02
1.390000000000000000e+02 8.714761790450578638e-02
1.410000000000000000e+02 8.046753885791016470e-02
1.430000000000000000e+02 7.612218796435150925e-02
1.450000000000000000e+02 8.118687589981490871e-02
1.470000000000000000e+02 7.487740100707303281e-02
1.490000000000000000e+02 7.185108282536566138e-02
1.510000000000000000e+02 7.550579483411669346e-02
1.530000000000000000e+02 7.059741657053116015e-02
1.550000000000000000e+02 6.952957103947751683e-02
1.570000000000000000e+02 7.066377519597155654e-02
1.590000000000000000e+02 6.665534575412031260e-02
1.610000000000000000e+02 6.357759003782870177e-02
1.630000000000000000e+02 7.162662937561341259e-02
1.650000000000000000e+02 6.314157469042849802e-02
1.670000000000000000e+02 6.848450455948690285e-02
1.690000000000000000e+02 7.557783837662718218e-02
1.710000000000000000e+02 5.857282119505411583e-02
1.730000000000000000e+02 5.700038002781114554e-02
1.750000000000000000e+02 6.342844659432590737e-02
1.770000000000000000e+02 5.628898891099318874e-02
1.790000000000000000e+02 6.312133290423585508e-02
1.810000000000000000e+02 6.528359952414736211e-02
1.830000000000000000e+02 5.821919976024463039e-02
1.850000000000000000e+02 5.337024181512502879e-02
1.870000000000000000e+02 5.978618262299263686e-02
1.890000000000000000e+02 5.816378335304694946e-02
1.910000000000000000e+02 6.032498301725040118e-02
1.930000000000000000e+02 6.031645022419531571e-02
1.950000000000000000e+02 5.811711910095418432e-02
1.970000000000000000e+02 5.445826832653014732e-02
1.990000000000000000e+02 5.273481589681459913e-02
2.010000000000000000e+02 4.259636431731449180e-02
2.030000000000000000e+02 5.376409717244710201e-02
2.050000000000000000e+02 4.983787938462368866e-02
2.070000000000000000e+02 4.118698308823765669e-02
2.090000000000000000e+02 4.929612640997073358e-02
2.110000000000000000e+02 5.262154166498710095e-02
2.130000000000000000e+02 4.321450112721257619e-02
2.150000000000000000e+02 4.316456085768918816e-02
2.170000000000000000e+02 4.884780996393769253e-02
2.190000000000000000e+02 4.256631802311904716e-02
2.210000000000000000e+02 5.157872681836672690e-02
2.230000000000000000e+02 4.011581628421813372e-02
2.250000000000000000e+02 5.204745551244142898e-02
2.270000000000000000e+02 4.397632983480644769e-02
2.290000000000000000e+02 4.126002209938584714e-02
2.310000000000000000e+02 3.511829889221172729e-02
2.330000000000000000e+02 4.128249641760667332e-02
2.350000000000000000e+02 3.765306033418510528e-02
2.370000000000000000e+02 3.565680058210091152e-02
2.390000000000000000e+02 4.909815879270804095e-02
2.410000000000000000e+02 3.674901715726765911e-02
2.430000000000000000e+02 4.320590288243507382e-02
2.450000000000000000e+02 3.790411880699993963e-02
2.470000000000000000e+02 3.786485156755527159e-02
2.490000000000000000e+02 4.024410359842287011e-02
